id,товар,назва товару,марка,дата,час,шт,грам,літрів,вартість,сума,заповнив,is_interesting,why
79150859,алкоголь,джин,Gibson’s,09.06.2018,,1,,0.7,195.30,,Женя,,
79150859,алкоголь,лікер,Jagermeister,10.06.2018,,1,,0.5,195.35,,Женя,,
79151979,косметика,гель для душу,Arko,05.05.2018,,1,,,39.33,,Женя,,
79151979,побутова хімія,репелент,OFF! Extreme,05.05.2018,,1,,0.1,67.83,,Женя,,
79151979,косметика,дезодорант,Nivea,05.05.2018,,1,,,40.67,,Женя,,
79151979,косметика,дезодорант,Axe,05.05.2018,,1,,,45.53,,Женя,,
79151979,побутова хімія,губка для взуття,Silver,05.05.2018,,1,,,26.68,,Женя,,
79151979,косметика,ополаскувач,,05.05.2018,,1,,,34.90,,Женя,,
79151979,напій безалкогольний,сік,Садочок,05.05.2018,,1,,1.93,33.59,,Женя,,
79151979,сир,сир копчений,Три богатирі,05.05.2018,,4,100,,18.50,74.00,Женя,,
79151979,побутова хімія,електрофумігатор,,05.05.2018,,1,,,40.17,,Женя,,
79164823,алкоголь,віскі,Red Label,16.07.2018,,1,,,345.40,,Женя,,
79164823,алкоголь,віскі,Jack Daniels,16.07.2018,,1,,,368.80,,Женя,,
79164823,алкоголь,віскі,Red Label,18.07.2018,,1,,,345.40,,Женя,,
79164823,алкоголь,віскі,Jack Daniels,18.07.2018,,1,,,368.80,,Женя,,
79164823,алкоголь,віскі,Red Label,18.07.2018,,1,,,345.40,,Женя,,
79164823,алкоголь,горілка,Хлібний Дар,18.07.2018,,1,,0.33,58.87,,Женя,,
79164823,алкоголь,віскі,Jack Daniels,19.07.0201,,1,,,368.80,,Женя,,
79164823,алкоголь,віскі,Red Label,19.07.2018,,1,,,345.40,,Женя,,
79165237,алкоголь,віскі,Jack Daniels,10.06.2018,,1,,0.5,316.58,,Женя,,
79165237,алкоголь,віскі,Jameson,10.06.2018,,2,,0.5,354.75,709.50,Женя,,
79165237,алкоголь,віскі,Jameson,11.06.2018,,1,,0.5,354.75,,Женя,,
79165237,алкоголь,віскі,,11.06.2018,,1,,0.5,237.00,,Женя,,
79165237,алкоголь,віскі,Jack Daniels,11.06.2018,,1,,0.5,316.58,,Женя,,
79165237,алкоголь,віскі,Jameson,11.06.2018,,1,,0.5,354.75,,Женя,,
79165237,солодощі,яйце kinder,Kinder,11.06.2018,,1,,,21.58,,Женя,,
79165237,молочна продукція,сирок глазурований,,11.06.2018,,3,,,7.75,23.25,Женя,,
79165237,солодощі,бісквіт,kinder pingui,11.06.2018,,6,,,13.58,81.48,Женя,,
79165237,солодощі,бісквіт,Kinder Milk Slice,11.06.2018,,2,,,11.00,22.00,Женя,,
79165237,солодощі,яйце kinder,Kinder,11.06.2018,,2,,,26.58,53.16,Женя,,
79165237,солодощі,яйце kinder,Kinder,11.06.2018,,2,,,21.58,43.16,Женя,,
79168513,NA,,,,,,,,,,Женя,,
79175060,NA,,,,,,,,,,Женя,,
79175826,алкоголь,віскі,Jack Daniels,24.09.2018,,2,,0.5,392.00,784.13,Женя,,
79175851,алкоголь,лікер,Sheridans,02.10.2018,,1,,0.5,428.67,,Женя,,
79176197,алкоголь,джин,Bombay Sapphire,09.01.2018,,1,,,359.90,,Женя,,
79177223,NA,,,,,,,,,,Женя,,
79185383,алкоголь,ром,,20.09.2018,,1,,,280.27,,Женя,,
79185383,алкоголь,віскі,,20.09.2018,,1,,,356.33,,Женя,,
79195168,NA,,,,,,,,,,Женя,,
79197273,алкоголь,віскі,Jameson,08.11.2018,,1,,0.5,357.76,,Женя,,
79213906,алкоголь,пиво,,08.11.2018,,1,,0.45,12.90,,Женя,,
79213906,алкоголь,вермут,Martini,08.11.2018,,1,,1,221.90,,Женя,,
79213906,мʼясо та м'ясні продукти,мʼясні продукти,,08.11.2018,,1,420,,23.80,,Женя,,
79213906,ковбаса та ковбасні вироби,ковбаса,,08.11.2018,,1,500,,83.25,,Женя,,
79213906,мʼясо та м'ясні продукти,мʼясні продукти,,08.11.2018,,1,1400,,162.25,,Женя,,
79214888,солодощі,шоколад,Milka,21.10.2018,,4,300,,64.30,257.20,Женя,,
79214888,солодощі,шоколад,Milka,21.10.2018,,7,300,,63.10,441.86,Женя,,
79214888,солодощі,шоколад,Milka,25.10.2018,,6,300,,64.30,385.80,Женя,,
79214888,солодощі,шоколад,Milka,25.10.2018,,7,300,,63.10,441.86,Женя,,
79214888,солодощі,шоколад,Milka,29.10.2018,,8,300,,63.27,506.16,Женя,,
79214888,солодощі,шоколад,Milka,30.10.2018,,6,300,,64.30,385.80,Женя,,
79214888,солодощі,шоколад,Milka,04.11.2018,,9,100,,23.92,215.28,Женя,,
79215981,солодощі,шоколад,Milka,20.11.2018,,2,90,,28.90,57.80,Женя,,
79215981,солодощі,шоколад,Roshen,20.11.2018,,2,90,,17.30,34.60,Женя,,
79215981,солодощі,шоколад,Roshen,20.11.2018,,1,85,,17.80,,Женя,,
79215981,кава,кава розчинна,Jacobs Monarch,20.11.2018,,1,120,,104.80,,Женя,,
79215981,спеції,агар-агар,,20.11.2018,,6,8,,12.90,77.40,Женя,,
79215981,спеції,желатин,,20.11.2018,,4,25,,9.10,36.40,Женя,,
79215981,спеції,розпушувач,,20.11.2018,,8,10,,2.70,21.00,Женя,,
79215981,спеції,ванільний цукор,,20.11.2018,,6,10,,0.9,5.00,Женя,,
79215981,спеції,кокосова стружка,,20.11.2018,,3,40,,6.90,20.70,Женя,,
79215981,спеції,дріжжі,,20.11.2018,,8,11,,5.20,41.60,Женя,,
79215981,спеції,дріжжі,,20.11.2018,,2,100,,15.70,31.40,Женя,,
79234065,алкоголь,лікер,Sheridans,20.10.2018,,1,,0.5,499.00,,Женя,,
79234330,товари для тварин,корм для тварин,Pedigree,08.03.2018,,1,100,,9.20,,Женя,yes,пенсіонерка
79234330,ікра,ікра червона,,08.03.2018,,1,120,,213.50,,Женя,yes,пенсіонерка
79234330,ковбаса та ковбасні вироби,ковбаса,,08.03.2018,,1,318,,86.46,,Женя,yes,пенсіонерка
79234330,ковбаса та ковбасні вироби,ковбаса,,08.03.2018,,1,80,,28.90,,Женя,yes,пенсіонерка
79234330,солодощі,шоколад,Millennium,08.03.2018,,2,90,,19.60,39.20,Женя,yes,пенсіонерка
79234330,морепродукти,крабові палички,VICI,08.03.2018,,1,250,,71.90,,Женя,yes,пенсіонерка
79234330,консерви рибні,шпроти,,08.03.2018,,1,190,,41.90,,Женя,yes,пенсіонерка
