"id","yend","color","start","end","curvature","dif","ystart"
"91062031",3,"меншу",108.728885223391,101.206539176637,-48.6667739110229,-102.88,2
"91062031",4,"меншу",101.206539176637,94.6914387878496,-46.0900495111445,-30.8,3
"91062031",5,"більшу",94.6914387878496,100.366526503349,-34.3628791534846,297.25,4
"91077955",1,"однакову",100,100,-44.9890074534828,0,0
"91077955",2,"більшу",100,107.492577042431,-41.5500384292277,96.2,1
"91085277",1,"однакову",100,100,-44.9890074534828,0,0
"91085277",2,"більшу",100,107.017883559456,-44.0595563658462,26,1
"91160674",1,"однакову",100,100,-44.9890074534828,0,0
"91160674",2,"меншу",100,90.8395646174904,-45.3958210449175,-11.38,1
"91220115",1,"однакову",100,100,-44.9890074534828,0,0
"91220115",2,"меншу",100,90.8626242063474,-48.2192074642072,-90.36,1
"91220115",3,"меншу",90.8626242063474,83.0824102950282,-45.321107476719,-9.29000000000008,2
"91231089",1,"однакову",100,100,-44.9890074534828,0,0
"91231089",2,"більшу",100,105.935327271,-37.4457969149374,211.01,1
"91264598",1,"однакову",100,100,-44.9890074534828,0,0
"91264598",2,"меншу",100,91.2100554886274,-51.8036713317962,-190.63,1
"91271046",1,"однакову",100,100,-44.9890074534828,0,0
"91271046",2,"більшу",100,108.685243428918,35.7123706364952,2257.5,1
"91271046",3,"меншу",108.685243428918,101.428140355274,-107.726955868947,-1755,2
"91317013",1,"однакову",100,100,-44.9890074534828,0,0
"91317013",2,"меншу",100,90.7834872789681,-52.1207571451552,-199.5,1
"91361102",1,"однакову",100,100,-44.9890074534828,0,0
"91361102",2,"меншу",100,92.1017331548501,-52.5976370493503,-212.84,1
"91446721",1,"однакову",100,100,-44.9890074534828,0,0
"91446721",2,"більшу",100,109.681355701759,-44.5932757788622,11.07,1
"91446721",3,"більшу",109.681355701759,116.574403457344,-16.3694210592168,800.59,2
"91446721",4,"меншу",116.574403457344,110.614836877212,-59.0140668847302,-392.33,3
"91446721",5,"меншу",110.614836877212,103.318434921093,-46.2759397286718,-36,4
"91457656",1,"однакову",100,100,-44.9890074534828,0,0
"91457656",2,"більшу",100,107.818213707069,-32.6022843047885,346.5,1
"91457656",3,"меншу",107.818213707069,99.9644676351454,-48.8140561602946,-107,2
"91459557",1,"однакову",100,100,-44.9890074534828,0,0
"91459557",2,"меншу",100,94.7876220266335,-48.735410299033,-104.8,1
"91459557",3,"більшу",94.7876220266335,103.867676358204,-27.104223640231,500.3,2
"91474665",1,"однакову",100,100,-44.9890074534828,0,0
"91474665",2,"меншу",100,92.1241678809747,-51.6024094232041,-185,1
"91474665",3,"більшу",92.1241678809747,100.139940144727,-44.588628523424,11.2,2
"91474797",1,"однакову",100,100,-44.9890074534828,0,0
"91474797",2,"меншу",100,92.0608629100025,-49.8021341626897,-134.64,1
"91505016",1,"однакову",100,100,-44.9890074534828,0,0
"91505016",2,"меншу",100,93.7718488660175,-69.9379770139596,-697.91,1
"91505016",3,"більшу",93.7718488660175,100.117532348959,-5.14486925125567,1114.58,2
"91505016",4,"меншу",100.117532348959,93.7016312230844,-77.6517060789676,-913.69,3
"91505016",5,"більшу",93.7016312230844,101.398803999182,-33.6943893327614,315.95,4
"91543555",1,"однакову",100,100,-44.9890074534828,0,0
"91543555",2,"більшу",100,106.362026233692,-44.6315262659303,10,1
"91560384",1,"однакову",100,100,-44.9890074534828,0,0
"91560384",2,"більшу",100,106.760159386322,-32.319874166622,354.4,1
"91560384",3,"меншу",106.760159386322,98.3817191189155,-48.7954671385418,-106.48,2
"91569067",1,"однакову",100,100,-44.9890074534828,0,0
"91569067",2,"більшу",100,106.310029809829,-43.9187087779506,29.9400000000001,1
"91577335",1,"однакову",100,100,-44.9890074534828,0,0
"91577335",2,"більшу",100,105.45395166846,-37.9391209537598,197.21,1
"91577335",3,"меншу",105.45395166846,98.839651675662,-47.060253454162,-57.9399999999999,2
"91577335",4,"меншу",98.839651675662,90.6942117982544,-56.1588646397483,-312.46,3
"91577581",1,"однакову",100,100,-44.9890074534828,0,0
"91577581",2,"меншу",100,94.8161981464364,-88.5681091032584,-1219.06,1
"91581950",1,"однакову",100,100,-44.9890074534828,0,0
"91581950",2,"більшу",100,108.175115688937,-42.029063220548,82.8,1
"91585211",1,"однакову",100,100,-44.9890074534828,0,0
"91585211",2,"більшу",100,105.861643103417,-44.6029277709261,10.8,1
"91622526",1,"однакову",100,100,-44.9890074534828,0,0
"91622526",2,"меншу",100,92.965343965916,-46.372459649311,-38.7,1
"91622526",3,"більшу",92.965343965916,100.080734168878,-43.1293903158346,52.02,2
"91622526",4,"більшу",100.080734168878,108.684453543974,-42.8451927717304,59.9699999999999,3
"91630564",1,"однакову",100,100,-44.9890074534828,0,0
"91630564",2,"більшу",100,109.225354964146,-43.1701431712156,50.88,1
"91637770",1,"однакову",100,100,-44.9890074534828,0,0
"91637770",2,"меншу",100,93.2397516223136,-50.481705900227,-153.65,1
"91637770",3,"більшу",93.2397516223136,102.864280913491,-39.7143725311456,147.55,2
"91637770",4,"більшу",102.864280913491,109.489528903505,-43.9415875739539,29.3,3
"91641979",1,"однакову",100,100,-44.9890074534828,0,0
"91641979",2,"однакову",100,100,-44.9890074534828,0,1
"91698505",1,"однакову",100,100,-44.9890074534828,0,0
"91698505",2,"однакову",100,100,-44.9890074534828,0,1
"91698505",3,"більшу",100,109.464726160513,-35.9597476182816,252.58,2
"91698511",1,"однакову",100,100,-44.9890074534828,0,0
"91698511",2,"меншу",100,92.414412223734,-55.5136110962161,-294.41,1
"91698778",1,"однакову",100,100,-44.9890074534828,0,0
"91698778",2,"меншу",100,92.7904438390397,-47.3383738180778,-65.72,1
"91698778",3,"меншу",92.7904438390397,84.8788427968975,-45.9241782401201,-26.16,2
"91769292",1,"однакову",100,100,-44.9890074534828,0,0
"91769292",2,"більшу",100,107.311459507328,-30.0462938137881,418,1
"91769292",3,"однакову",107.311459507328,107.311459507328,-44.9890074534828,0,2
"91769292",4,"більшу",107.311459507328,113.880982358241,-29.9354746456468,421.1,3
"91769292",5,"меншу",113.880982358241,107.019481334137,-60.0425402613188,-421.1,4
"91769292",6,"меншу",107.019481334137,97.3384699423332,-59.9317210931775,-418,5
"91774568",1,"однакову",100,100,-44.9890074534828,0,0
"91774568",2,"однакову",100,100,-44.9890074534828,0,1
"91775520",1,"однакову",100,100,-44.9890074534828,0,0
"91775520",2,"більшу",100,105.256097221281,-27.2221924321233,497,1
"91775520",3,"меншу",105.256097221281,95.7000799151137,-60.0697088315727,-421.86,2
"91775520",4,"більшу",95.7000799151137,102.018812975148,-27.090639355104,500.68,3
"91775520",5,"меншу",102.018812975148,95.3574601758737,-71.121597225946,-731.02,4
"91803339",1,"однакову",100,100,-44.9890074534828,0,0
"91803339",2,"однакову",100,100,-44.9890074534828,0,1
"91803339",3,"меншу",100,93.5287694539875,-49.0628630668311,-113.96,2
"91803339",4,"однакову",93.5287694539875,93.5287694539875,-44.9890074534828,0,3
"91803339",5,"більшу",93.5287694539875,99.5727265800815,-37.9966754249558,195.6,4
"91831845",1,"однакову",100,100,-44.9890074534828,0,0
"91831845",2,"меншу",100,94.7186990373302,-62.2517740003932,-482.9,1
"91835784",1,"однакову",100,100,-44.9890074534828,0,0
"91835784",2,"однакову",100,100,-44.9890074534828,0,1
"91835784",3,"меншу",100,90.4352615633979,-49.0628630668311,-113.96,2
"91835784",4,"однакову",90.4352615633979,90.4352615633979,-44.9890074534828,0,3
"91835784",5,"більшу",90.4352615633979,96.8544828426093,-37.9966754249558,195.6,4
"91837167",1,"однакову",100,100,-44.9890074534828,0,0
"91837167",2,"меншу",100,90.6866238359362,-47.3426635923284,-65.84,1
"91837167",3,"більшу",90.6866238359362,98.5311715235002,-43.4761470677606,42.32,2
"91888672",1,"однакову",100,100,-44.9890074534828,0,0
"91888672",2,"більшу",100,108.223793073557,-44.2493788764366,20.69,1
"91892945",1,"однакову",100,100,-44.9890074534828,0,0
"91892945",2,"меншу",100,93.8702555943746,-48.7629363504746,-105.57,1
"91892945",3,"меншу",93.8702555943746,86.0853188904002,-45.4179848785458,-12,2
"91892945",4,"більшу",86.0853188904002,91.3548779778648,-41.4578082828391,98.78,3
"91902171",1,"однакову",100,100,-44.9890074534828,0,0
"91902171",2,"більшу",100,109.817001580959,-40.5580281337695,123.95,1
"91902171",3,"меншу",109.817001580959,100.733544870745,-51.7382522744741,-188.8,2
"91935195",1,"однакову",100,100,-44.9890074534828,0,0
"91935195",2,"меншу",100,90.4565510293469,-56.6822170983252,-327.1,1
"91961406",1,"однакову",100,100,-44.9890074534828,0,0
"91961406",2,"однакову",100,100,-44.9890074534828,0,1
"91961406",3,"однакову",100,100,-44.9890074534828,0,2
"91965198",1,"однакову",100,100,-44.9890074534828,0,0
"91965198",2,"меншу",100,91.7935855605174,-48.2724721611525,-91.85,1
"91965198",3,"більшу",91.7935855605174,97.3452380637173,-38.4220780381433,183.7,2
"91965198",4,"меншу",97.3452380637173,91.6241803078447,-49.5543996997158,-127.71,3
"91965198",5,"меншу",91.6241803078447,85.1479623815976,-46.9905446225893,-55.99,4
"91965198",6,"однакову",85.1479623815976,85.1479623815976,-44.9890074534828,0,5
"91965198",7,"однакову",85.1479623815976,85.1479623815976,-44.9890074534828,0,6
"91965198",8,"більшу",85.1479623815976,90.2486596768722,-41.705542745813,91.85,7
"91965198",9,"меншу",90.2486596768722,83.7505780556239,-45.4072604429192,-11.7,8
"91966425",1,"однакову",100,100,-44.9890074534828,0,0
"91966425",2,"меншу",100,90.0387926411349,-46.0907644735196,-30.82,1
"92006619",1,"однакову",100,100,-44.9890074534828,0,0
"92006619",2,"більшу",100,107.823772893753,-36.2811232058913,243.59,1
"92006619",3,"меншу",107.823772893753,99.4278499588836,-53.6968917010742,-243.59,2
"92006619",4,"однакову",99.4278499588836,99.4278499588836,-44.9890074534828,0,3
"92008977",1,"однакову",100,100,-44.9890074534828,0,0
"92008977",2,"меншу",100,91.9798818347044,-49.6720110104206,-131,1
"92042102",1,"однакову",100,100,-44.9890074534828,0,0
"92042102",2,"меншу",100,93.7873278092593,-55.0113500277048,-280.36,1
"92042102",3,"більшу",93.7873278092593,100.501131529454,-32.3591970972528,353.3,2
"92042703",1,"однакову",100,100,-44.9890074534828,0,0
"92042703",2,"меншу",100,93.3194963855203,-46.025702897385,-29,1
"92042703",3,"меншу",93.3194963855203,87.3127220582683,-46.4232219779434,-40.12,2
"92055016",1,"однакову",100,100,-44.9890074534828,0,0
"92055016",2,"однакову",100,100,-44.9890074534828,0,1
"92055016",3,"однакову",100,100,-44.9890074534828,0,2
"92079490",1,"однакову",100,100,-44.9890074534828,0,0
"92079490",2,"меншу",100,92.3438256338704,-56.0398234042934,-309.13,1
"92079490",3,"однакову",92.3438256338704,92.3438256338704,-44.9890074534828,0,2
"92081100",1,"однакову",100,100,-44.9890074534828,0,0
"92081100",2,"меншу",100,92.606260854518,-105.410835254795,-1690.21,1
"92160859",1,"однакову",100,100,-44.9890074534828,0,0
"92160859",2,"меншу",100,93.0444943252951,-59.9567447763062,-418.7,1
"92160859",3,"більшу",93.0444943252951,102.221097321017,-37.8429585143082,199.9,2
"92160859",4,"більшу",102.221097321017,108.150364431785,-43.1980267038447,50.1,3
"92224616",1,"однакову",100,100,-44.9890074534828,0,0
"92224616",2,"більшу",100,106.700584613718,-40.4132482528107,128,1
"92232352",1,"однакову",100,100,-44.9890074534828,0,0
"92232352",2,"меншу",100,90.9431556961499,-54.1369510429514,-255.9,1
"92232352",3,"більшу",90.9431556961499,99.6440680033993,-33.0419861654781,334.2,2
"92232352",4,"більшу",99.6440680033993,108.556413468905,-44.5199921354139,13.1199999999999,3
"92232352",5,"меншу",108.556413468905,98.9690932061058,-60.62952437128,-437.52,4
"92232900",1,"однакову",100,100,-44.9890074534828,0,0
"92232900",2,"більшу",100,108.151313073467,29.9394069387098,2096.01,1
"92273792",1,"однакову",100,100,-44.9890074534828,0,0
"92273792",2,"меншу",100,91.0089901462197,-49.9976763722809,-140.11,1
"92329275",1,"однакову",100,100,-44.9890074534828,0,0
"92329275",2,"більшу",100,105.289864407387,-33.0026632348473,335.3,1
"92344802",1,"однакову",100,100,-44.9890074534828,0,0
"92344802",2,"однакову",100,100,-44.9890074534828,0,1
