"name","x","y"
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
"солодощі",74406.62,1585
